id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
L001-9_3730,"L009 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L009-mdf-lake-kapi-imalati-konya-kapi-modelleri-01.png,https://www.okpsdoor.com/product/l009-lacquered-mdf-door/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-9_3730,,,,0,new,published,,,,,4634,,
L001-10_3731,"L010 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L010-mdf-lake-kapi-imalati-konya-kapi-modelleri-01i.png,https://www.okpsdoor.com/product/l010-lacquered-mdf-door/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-10_3731,,,,0,new,published,,,,,4634,,
L001-11_3732,"L011 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L011-mdf-lake-kapi-imalati-konya-kapi-modelleri-01.png,https://www.okpsdoor.com/product/l011-lacquered-mdf-door/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-11_3732,,,,0,new,published,,,,,4634,,
L001-12_3733,"L012 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L012-mdf-lake-kapi-imalati-konya-kapi-modelleri-01i.png,https://www.okpsdoor.com/product/l012-lacquered-mdf-door/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-12_3733,,,,0,new,published,,,,,4634,,
L001-13_3734,"L013 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L013-mdf-lake-kapi-imalati-konya-kapi-modelleri-01.png,https://www.okpsdoor.com/product/l013-lacquered-mdf-door/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-13_3734,,,,0,new,published,,,,,4634,,
L001-14_3735,"L014 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L014-mdf-lake-kapi-imalati-konya-kapi-modelleri-010.png,https://www.okpsdoor.com/product/l014-lacquered-mdf-door/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-14_3735,,,,0,new,published,,,,,4634,,
L001-15_3736,"L015 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L015-mdf-lake-kapi-imalati-konya-kapi-modelleri-0100.png,https://www.okpsdoor.com/product/l015-lacquered-mdf-door/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-15_3736,,,,0,new,published,,,,,4634,,
L001-16_3737,"L016 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L016-mdf-lake-kapi-imalati-konya-kapi-modelleri-010.png,https://www.okpsdoor.com/product/l016-lacquered-mdf-door-copy/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-16_3737,,,,0,new,published,,,,,4634,,
L001-17_3738,"L017 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L017-mdf-lake-kapi-imalati-konya-kapi-modelleri-010.png,https://www.okpsdoor.com/product/l017-lacquered-mdf-door-copy/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-17_3738,,,,0,new,published,,,,,4634,,
L001-18_3739,"L019 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L019-mdf-lake-kapi-imalati-konya-kapi-modelleri-01a.png,https://www.okpsdoor.com/product/l019-lacquered-mdf-door-copy/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-18_3739,,,,0,new,published,,,,,4634,,
